"id","code","name"
"ncm_genre_73","73","Obras de ferro fundido, ferro ou aço."
"ncm_genre_74","74","Cobre e suas obras."
"ncm_genre_75","75","Níquel e suas obras."
"ncm_genre_76","76","Alumínio e suas obras."
"ncm_genre_78","78","Chumbo e suas obras."
"ncm_genre_79","79","Zinco e suas obras."
"ncm_genre_80","80","Estanho e suas obras."
"ncm_genre_81","81","Outros metais comuns; cermets; obras dessas matérias."
"ncm_genre_82","82","Ferramentas, artigos de cutelaria e talheres, e suas partes, de metais comuns."
"ncm_genre_83","83","Obras diversas de metais comuns."
"ncm_genre_84","84","Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes."
"ncm_genre_85","85","Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios."
"ncm_genre_86","86","Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação."
"ncm_genre_87","87","Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios."
"ncm_genre_88","88","Aeronaves e aparelhos espaciais, e suas partes."
"ncm_genre_89","89","Embarcações e estruturas flutuantes."
"ncm_genre_90","90","Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios."
"ncm_genre_91","91","Artigos de relojoaria."
"ncm_genre_92","92","Instrumentos musicais; suas partes e acessórios."
"ncm_genre_93","93","Armas e munições; suas partes e acessórios."
"ncm_genre_94","94","Móveis; mobiliário médico-cirúrgico; colchões, almofadas e semelhantes; luminárias e aparelhos de iluminação não especificados nem compreendidos noutros Capítulos; anúncios, cartazes ou tabuletas e placas indicadoras, luminosos e artigos semelhantes; construções pré-fabricadas."
"ncm_genre_95","95","Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios."
"ncm_genre_96","96","Obras diversas."
"ncm_genre_97","97","Objetos de arte, de coleção e antiguidades."
