"id","item","code","name","segment","ncms"
"cest_0105400","54","01.054.00","Aparelhos e dispositivos elétricos de ignição ou de arranque para motores de ignição por centelha ou por compressão (por exemplo, magnetos, dínamos-magnetos, bobinas de ignição, velas de ignição ou de aquecimento, motores de arranque); geradores (dínamos e alternadores, por exemplo) e conjuntores-disjuntores utilizados com estes motores","01","8511"
"cest_0105500","55","01.055.00","Aparelhos elétricos de iluminação ou de sinalização (exceto os da posição 8539), limpadores de para-brisas, degeladores e desembaçadores (desembaciadores) elétricos e suas partes","01","851220,851240,85129000"
"cest_0105600","56","01.056.00","Telefones móveis do tipo dos utilizados em veículos automóveis","01","85171410"
"cest_0105700","57","01.057.00","Alto-falantes, amplificadores elétricos de audiofrequência e partes","01","8518"
"cest_0105800","58","01.058.00","Aparelhos elétricos de amplificação de som para veículos automotores","01","85185000"
"cest_0105900","59","01.059.00","Aparelhos de reprodução de som","01","851981"
"cest_0106000","60","01.060.00","Aparelhos transmissores (emissores) de radiotelefonia ou radiotelegrafia (rádio receptor/transmissor)","01","8525501,85256010"
"cest_0106100","61","01.061.00","Aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia combinados com um aparelho de gravação ou de reprodução de som, do tipo utilizado em veículos automóveis","01","85272100"
"cest_0106200","62","01.062.00","Outros aparelhos receptores de radiodifusão que só funcionem com fonte externa de energia, do tipo utilizado em veículos automóveis","01","85272900"
"cest_0106201","62.1","01.062.01","Outros aparelhos videofônicos de gravação ou de reprodução, mesmo incorporando um receptor de sinais videofônicos, dos tipos utilizados exclusivamente em veículos automotores","01","85219090"
"cest_0106300","63","01.063.00","Antenas","01","85291"
"cest_0106400","64","01.064.00","Circuitos impressos","01","8534"
"cest_0106500","65","01.065.00","Interruptores e seccionadores e comutadores","01","853530,853650"
"cest_0106600","66","01.066.00","Fusíveis e corta-circuitos de fusíveis","01","85361000"
"cest_0106700","67","01.067.00","Disjuntores","01","85362000"
"cest_0106800","68","01.068.00","Relés","01","85364"
"cest_0106900","69","01.069.00","Partes reconhecíveis como exclusivas ou principalmente destinados aos aparelhos dos CEST 01.065.00, 01.066.00, 01.067.00 e 01.068.00","01","8538"
"cest_0107000","70","01.070.00","Faróis e projetores, em unidades seladas","01","85391"
"cest_0107100","71","01.071.00","Lâmpadas e tubos de incandescência, exceto de raios ultravioleta ou infravermelhos","01","85392"
"cest_0107200","72","01.072.00","Cabos coaxiais e outros condutores elétricos coaxiais","01","85442000"
"cest_0107300","73","01.073.00","Jogos de fios para velas de ignição e outros jogos de fios","01","85443000"
"cest_0107400","74","01.074.00","Carroçarias para os veículos automóveis das posições 8701 a 8705, incluídas as cabinas","01","8707"
"cest_0107500","75","01.075.00","Partes e acessórios dos veículos automóveis das posições 8701 a 8705","01","8708"
"cest_0107600","76","01.076.00","Parte e acessórios de motocicletas (incluídos os ciclomotores)","01","87141"
"cest_0107700","77","01.077.00","Engates para reboques e semirreboques","01","87169090"
"cest_0107800","78","01.078.00","Medidores de nível; Medidores de vazão","01","90261"
"cest_0107900","79","01.079.00","Aparelhos para medida ou controle da pressão","01","90262"
"cest_0108000","80","01.080.00","Contadores, indicadores de velocidade e tacômetros, suas partes e acessórios","01","9029"
"cest_0108100","81","01.081.00","Amperímetros","01","90303321"
"cest_0108200","82","01.082.00","Aparelhos digitais, de uso em veículos automóveis, para medida e indicação de múltiplas grandezas tais como: velocidade média, consumos instantâneo e médio e autonomia (computador de bordo)","01","90318040"
"cest_0108300","83","01.083.00","Controladores eletrônicos","01","9032892"
"cest_0108400","84","01.084.00","Relógios para painéis de instrumentos e relógios semelhantes","01","91040000"
"cest_0108500","85","01.085.00","Assentos e partes de assentos","01","94012000,94019900"
"cest_0108600","86","01.086.00","Acendedores","01","96138000"
"cest_0108700","87","01.087.00","Tubos de borracha vulcanizada não endurecida, mesmo providos de seus acessórios","01","4009"
"cest_0108800","88","01.088.00","Juntas de vedação de cortiça natural e de amianto","01","45049000,68129910"
"cest_0108900","89","01.089.00","Papel-diagrama para tacógrafo, em disco","01","48234000"
"cest_0109000","90","01.090.00","Fitas, tiras, adesivos, autocolantes, de plástico, refletores, mesmo em rolos; placas metálicas com película de plástico refletora, próprias para colocação em carrocerias, para-choques de veículos de carga, motocicletas, ciclomotores, capacetes, bonés de agentes de trânsito e de condutores de veículos, atuando como dispositivos refletivos de segurança rodoviários","01","391910,391990,87082999"
"cest_0109100","91","01.091.00","Cilindros pneumáticos","01","84123110"
"cest_0109200","92","01.092.00","Bomba elétrica de lavador de para-brisa","01","84131900,84135090,84138100"
"cest_0109300","93","01.093.00","Bomba de assistência de direção hidráulica","01","84136019,84137010"
"cest_0109400","94","01.094.00","Motoventiladores","01","84145910,84145990"
"cest_0109500","95","01.095.00","Filtros de pólen do ar-condicionado","01","84213990"
"cest_0109600","96","01.096.00","“Máquina” de vidro elétrico de porta","01","85011019"
"cest_0109700","97","01.097.00","Motor de limpador de para-brisa","01","85013110"
"cest_0109800","98","01.098.00","Bobinas de reatância e de autoindução","01","85045000"
"cest_0109900","99","01.099.00","Baterias de chumbo e de níquel-cádmio","01","850720,850730"
"cest_0110000","100","01.100.00","Aparelhos de sinalização acústica (buzina)","01","85123000"
"cest_0110100","101","01.101.00","Instrumentos para regulação de grandezas não elétricas","01","9032898,9032899"
"cest_0110200","102","01.102.00","Analisadores de gases ou de fumaça (sonda lambda)","01","90271000"
"cest_0110300","103","01.103.00","Perfilados de borracha vulcanizada não endurecida","01","40081100"
"cest_0110400","104","01.104.00","Artefatos de pasta de fibra de uso automotivo","01","56012219"
"cest_0110500","105","01.105.00","Tapetes/carpetes – náilon","01","57032900"
"cest_0110600","106","01.106.00","Tapetes de matérias têxteis sintéticas","01","57033900"
"cest_0110700","107","01.107.00","Forração interior capacete","01","59119000"
"cest_0110800","108","01.108.00","Outros para-brisas","01","69039099"
"cest_0110900","109","01.109.00","Moldura com espelho","01","70072900"
"cest_0111000","110","01.110.00","REVOGADO","01","73145000"
"cest_0111100","111","01.111.00","Corrente transmissão","01","73151100"
"cest_0111200","112","01.112.00","Outras correntes de transmissão","01","73151210"
"cest_0111300","113","01.113.00","Condensador tubular metálico","01","84189900"
"cest_0111400","114","01.114.00","Trocadores de calor","01","84195"
