"id","name","description","tax_base_type","table_date","percent_amount","cst_out_id:id","cst_in_id:id","tax_group_id:id"
"tax_pis_monofasico_5_25","PIS Monofásico 5,25%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","5.25","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_pis"
"tax_pis_monofasico_6_15","PIS Monofásico 6,15%","Produto deve constar na tabela 4.3.10 do SPED ","percent","2025-07-02","6.15","cst_pis_cofins_02","cst_pis_cofins_70","tax_group_pis"
"tax_pis_outros","PIS Outros","","percent","","0","cst_pis_cofins_49","cst_pis_cofins_98","tax_group_pis"
"tax_pis_outras_operacoes","PIS Outras Operações","","percent","","0","cst_pis_cofins_99","cst_pis_cofins_99","tax_group_pis"
"tax_pis_seminc","PIS Sem Incidência","Produto deve constar na tabela 4.3.15 do SPED ","percent","","0","cst_pis_cofins_08","cst_pis_cofins_74","tax_group_pis"
"tax_pis_st_0_65","PIS ST 0,65%","","percent","2014-04-17","0.65","cst_pis_cofins_05","cst_pis_cofins_75","tax_group_pisst"
"tax_pis_st_qty","PIS ST por Unidade de Medida","","quantity","","0","cst_pis_cofins_05","cst_pis_cofins_75","tax_group_pisst"
"tax_pis_susp","PIS Com Suspensão","Produto deve constar na tabela 4.3.16 do SPED ","percent","2023-03-03","0","cst_pis_cofins_09","cst_pis_cofins_72","tax_group_pis"
"tax_pis_monofasico_qty","PIS Monofásico por Unidade de Medida","","quantity","","0","cst_pis_cofins_03","cst_pis_cofins_70","tax_group_pis"
"tax_pis_wh_0","PIS RET 0%","PIS retido na contratação de serviços","percent","","0","","","tax_group_pis_wh"
"tax_pis_wh_0_65","PIS RET 0,65%","PIS retido na contratação de serviços","percent","","0.65","","","tax_group_pis_wh"
"tax_pis_wh_1_65","PIS RET 1,65%","PIS retido na contratação de serviços","percent","","1.65","","","tax_group_pis_wh"
