"id","name","description","tax_base_type","table_date","percent_amount","cst_out_id:id","cst_in_id:id","tax_group_id:id"
"tax_ipi_4_55","IPI 4,55%","","percent","2022-07-29","4.55","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_22","IPI 22%","","percent","2022-07-29","22","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_15","IPI 15%","","percent","2022-07-29","15","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_5","IPI 5%","","percent","2022-07-29","5","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_11_25","IPI 11,25%","","percent","2022-07-29","11.25","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_11_7","IPI 11,7%","","percent","2022-07-29","11.7","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_1_95","IPI 1,95%","","percent","2022-07-29","1.95","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_39","IPI 39%","","percent","2022-07-29","39","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_26","IPI 26%","","percent","2022-07-29","26","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_29_25","IPI 29,25%","","percent","2022-07-29","29.25","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_0_65","IPI 0,65%","","percent","2022-07-29","0.65","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_12","IPI 12%","","percent","2022-07-29","12","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_20","IPI 20%","","percent","2022-07-29","20","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_35","IPI 35%","","percent","2022-07-29","35","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_15_6","IPI 15,6%","","percent","2022-07-29","15.6","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_3_75","IPI 3,75%","","percent","2022-07-29","3.75","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_7_5","IPI 7,5%","","percent","2022-07-29","7.5","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_25","IPI 25%","","percent","2022-07-29","25","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_2","IPI 2%","","percent","2022-07-29","2","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_33_86","IPI 33,86%","","percent","2022-07-29","33.86","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_5_27","IPI 5,27%","","percent","2022-07-29","5.27","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_9_78","IPI 9,78%","","percent","2022-07-29","9.78","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_18_81","IPI 18,81%","","percent","2022-07-29","18.81","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_10_4","IPI 10,4%","","percent","2022-07-29","10.4","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_9","IPI 9%","","percent","2022-07-29","9","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_55","IPI 55%","","percent","2022-07-29","55","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_40","IPI 40%","","percent","2022-07-29","40","cst_ipi_50","cst_ipi_00","tax_group_ipi"
"tax_ipi_nt","IPI Não tributado","","percent","","0","cst_ipi_53","cst_ipi_03","tax_group_ipi"
"tax_ipi_imune","IPI Imune","","percent","","0","cst_ipi_54","cst_ipi_04","tax_group_ipi"
