"id","cfop_id_from:id","fiscal_type_id:id","cfop_id_to:id","active"
"cfop_escrit_from_to_5403_07_1407","l10n_br_fiscal.cfop_5403","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1407","True"
"cfop_escrit_from_to_5403_08_1406","l10n_br_fiscal.cfop_5403","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1406","True"
"cfop_escrit_from_to_5405_00_1403","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_1403","True"
"cfop_escrit_from_to_5405_01_1401","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_1401","True"
"cfop_escrit_from_to_5405_07_1407","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_1407","True"
"cfop_escrit_from_to_5405_08_1406","l10n_br_fiscal.cfop_5405","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_1406","True"
"cfop_escrit_from_to_6401_00_2403","l10n_br_fiscal.cfop_6401","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2403","True"
"cfop_escrit_from_to_6401_01_2401","l10n_br_fiscal.cfop_6401","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2401","True"
"cfop_escrit_from_to_6401_07_2407","l10n_br_fiscal.cfop_6401","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2407","True"
"cfop_escrit_from_to_6401_08_2406","l10n_br_fiscal.cfop_6401","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2406","True"
"cfop_escrit_from_to_6403_00_2403","l10n_br_fiscal.cfop_6403","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2403","True"
"cfop_escrit_from_to_6403_01_2401","l10n_br_fiscal.cfop_6403","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2401","True"
"cfop_escrit_from_to_6403_07_2407","l10n_br_fiscal.cfop_6403","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2407","True"
"cfop_escrit_from_to_6403_08_2406","l10n_br_fiscal.cfop_6403","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2406","True"
"cfop_escrit_from_to_6404_00_2403","l10n_br_fiscal.cfop_6404","l10n_br_fiscal.product_fiscal_type_00","l10n_br_fiscal.cfop_2403","True"
"cfop_escrit_from_to_6404_01_2101","l10n_br_fiscal.cfop_6404","l10n_br_fiscal.product_fiscal_type_01","l10n_br_fiscal.cfop_2101","True"
"cfop_escrit_from_to_6404_07_2407","l10n_br_fiscal.cfop_6404","l10n_br_fiscal.product_fiscal_type_07","l10n_br_fiscal.cfop_2407","True"
"cfop_escrit_from_to_6404_08_2406","l10n_br_fiscal.cfop_6404","l10n_br_fiscal.product_fiscal_type_08","l10n_br_fiscal.cfop_2406","True"
"cfop_escrit_from_to_5910_1910","l10n_br_fiscal.cfop_5910","","l10n_br_fiscal.cfop_1910","True"
"cfop_escrit_from_to_6910_2910","l10n_br_fiscal.cfop_6910","","l10n_br_fiscal.cfop_2910","True"
"cfop_escrit_from_to_5911_1911","l10n_br_fiscal.cfop_5911","","l10n_br_fiscal.cfop_1911","True"
"cfop_escrit_from_to_6911_2911","l10n_br_fiscal.cfop_6911","","l10n_br_fiscal.cfop_2911","True"
